row_index,hyperlinks
18655,memberosot
18666,tanah
19507,berselam air
19622,bersenang diri
19625,bersenang-senangkan diri
19827,keras
19833,membersil
19915,bersitan | membersit | membersitkan | tebersit | terbersit
20297,bertanggung jawab
20600,beterbangan
20882,anak
20969,terberumbun
21002,memberungut | memberunguti
21117,barzanji
21176,basemah
21227,terbesit
21230,beskap
21245,bistik
21247,pembestralan
21278,batara
21279,batari
21306,biti
21309,terbetik
21376,bineka
21387,bea
21475,berbiau
21607,bidah
21671,bidadari
21672,bidasan | membidas | pembidas
21704,baiduri
21708,bienial
21728,halalbihalal
21729,bahari
21730,bius
21763,bikang
21874,kacau balau
21905,biliar
21908,biliun
21911,bimasakti
21954,biner
21963,penatu
21969,bincacak
22005,membingkas
22214,biomolekuler
22244,biosekuriti
22299,berahi
22324,terbirit-birit
22374,bus
22391,besan
22395,bisbul
22403,biseps
22414,beskal
22523,belangkon
22527,blangko
22570,lepot
22618,beloon
22681,bobokan | membobok | pembobok | pembobokan
22734,bodoh
22780,buhuk
22819,bukut
22834,jambu
22877,voli
22887,baling
22919,bulus
22930,bolpoin
22932,bulsak
22970,bumantara
22971,bawang
22973,membombardir | pembombardir | pembombardiran
22989,bomoh
22997,bonafide
23050,congkak
23058,bungkas
23063,bungkuk
23064,bonggol
23065,bungkul
23074,membongmeh
23078,bonsai
23082,bonggol
23083,boncol
23109,bonyok
23131,burak
23159,burhan
23215,bustan
23220,buta
23245,kacang
23333,berambang
23334,raja
23335,berandal
23337,berangas
23338,brankas
23339,berangus
23357,beredel
23359,breksia
23367,berengsek
23376,berewok
23407,bom
23428,bramacorah
23431,berongkos
23462,berunai
23494,bit
23518,lerak
23555,tin
23652,membubul
23660,membubung | membubungkan | memperbubungkan
23671,harisah
23687,membubus
23733,buddha
23756,budi daya
23786,buhul
23804,perbujangan
23820,bujangga
23842,mujur
24001,bulakan
24128,perum
24202,bulu tangkis
24225,kereta api
24232,membumihanguskan | pembumihangusan
24238,membumiratakan
24393,bungaran
24398,bongkah
24534,bufet
24538,berburai | memburai | memburaikan | terburai
24542,beraksa
24547,memburas
24580,sunbulat
24581,burkak
24648,buron
24666,kuak
24667,kuak
24668,kuar
24669,kuar
24679,murai
24686,punai
24724,membusa | membusakan | pembusa
24735,busur
24844,pohon
24865,biarpet
24939,mencacak | pencacak
24981,cecengklok
25025,mencadai
25027,bercadang | cadangan | mencadangkan | pencadang | pencadangan | percadangan
25042,cadar
25044,mencaduk
25045,bercadung | mencadung
25070,mencagil
25074,mencagun
25075,mencagut
25180,cakap
25188,cokmar
25189,camar
25223,mencakup | mencakup-cakup | pencakup
25231,mencakus
25246,mencalang
25253,celempong
25256,colang-caling
25298,celus
25300,kecam
25324,camilan | mencamil
25327,harimau
25337,camping
25370,ceramuk | mencamuk
25371,bercamuk
25372,mencamurkan
25377,mencanak
25387,bercancut | mencancutkan
25404,kecandan
25405,berani
25423,mencandrakan | pencandraan
25441,mencangah | tercangah
25442,mencangak | tercangak-cangak
25452,mencangar
25456,cenangga
25492,cengkau
25493,mencangkel | mencangkelkan | tercangkel
25514,cangkul
25523,cengkau
25525,cangkok
25530,cangkulan
25547,cantengan
25622,capcai
25631,cepiau
25688,acaram
25697,carak
25748,sasis
25787,catat
25807,tercatuk
25836,caung
25872,cahaya
25878,bercebak | cebakan | mencebak | pencebak | pencebakan | percebakan
25882,cebur
25883,mencebik | mencebikkan
25885,mencebil
25911,cecar
25915,cekcok
25921,cadel
25928,cendera
25940,cedok
25958,cergas
26003,bercekak | mempercekakkan
26013,cakalang
26021,cekak
26027,cekatan | kecekatan | tercekat
26028,tercekat
26036,cekik
26044,cengkeram
26050,cekibar
26053,bercekik | mempercekikkan
26061,bercekit
26066,centang
26067,tercekluk
26083,cekut
26094,jelaga
26108,campak
26142,capak
26145,celus
26149,bercelatuk
26150,celsius
26166,celengan | mencelengi
26175,selepa
26177,celapak
26200,celuk
26212,celus
26216,menceluk
26217,celam-celum
26218,celam-celum
26227,celopar
26253,cemas-cemas
26257,mencemat
26258,cengbeng
26277,cemeh
26278,cemeh
26288,cerlang
26293,camilan
26295,comot
26317,jempana
26327,cemplung
26328,cempek
26339,swipoa
26343,tempuling
26374,celurut
26395,candra
26400,cendera mata
26407,cendekia
26408,cendekiawan
26411,cenderawasih
26433,tenggek
26454,cekau
26459,sengkeling
26471,cengkerama
26489,cengkelong
26491,cengkeram
26492,cengkerama
26494,cengkok
26506,tercengung
26507,mencengut | tercengut
26511,sentadu
26525,sentigram
26526,sentil
26528,sentimeter
26535,tercenung
26539,cepol
26565,jepit
26586,cabut
26587,cerancang
26588,berceracak
26624,bercerancangan
26633,mencerataikan
26635,berceratuk | berceratukan | menceratuk
26644,cercahan | mencercah
26647,ceracap
26648,mencercap
26670,cerek
26676,ceria
26682,bercericau
26685,curiga
26713,cerita
26717,cergas
26718,mencerkau
26756,mencerocos
26759,ceranggah
26764,ceratuk
26797,cus
26847,cerita
26886,klorin
26890,encik
26891,taci
26910,menciar-ciar
26911,ciu
26913,cibiran | mencibir | mencibirkan
26915,mencibit
26921,cecah
26922,cecak
26926,cicit
26928,cecah
26933,mencicil
26937,mencicip
26938,cecer
26942,cedera
26974,cakalang
26987,cikutan
26993,cilok
27006,mencilok | pencilok
27011,encim
27021,kecimpung
27075,cendera mata
27082,cingangah
27083,cingak-cinguk
27086,tercingangah
27087,cengbeng
27088,cincau
27089,cincong
27092,cengkau
27116,centeng
27118,ciak
27129,jiplak
27130,menciplak
27131,swipoa
27179,senapan
27198,cetak
27245,celurit
27249,bercoang | bercoangan | mencoang | mencoangkan | tercoang
27250,mencoang-coang
27259,cabik
27266,cucakrawa
27285,mencocol
27293,codak
27310,jogar
27332,cokelat
27337,mencokok
27352,mencolek
27358,colek
27371,colokan | mencolok | mencolokkan | tercolok
27378,mencolot
27407,perahu
27414,menconcong
27429,menconet
27440,tercongget-congget
27449,congklang
27451,congkak
27452,mencongklang
27454,mencongkong
27459,mencongok
27460,mencongol
27466,sontek
27483,kecup
27487,cupar
27491,cupul
27503,curik
27541,conet
27578,ciu
27602,mencuar | mencuarkan | tercuar
27603,bercuatan | cuatan | mencuat | mencuat-cuat | mencuatkan | pencuat
27606,coban
27617,mencuca
27641,caci maki
27669,mencucut
27704,cekam
27712,cungkil
27730,menculak
27737,coli
27739,burung culik
27765,cembul
27776,cucunda
